,Unnamed: 0,operation,property_type,place_with_parent_names,lat-lon,price,currency,price_aprox_local_currency,price_aprox_usd,surface_total_in_m2,surface_covered_in_m2,price_usd_per_m2,price_per_m2,floor,rooms,expenses,properati_url
6522,6523,sell,apartment,|Argentina|Capital Federal|Almagro|,,115400.0,USD,1749740.96,115400.0,,34.0,,3394.117647,6.0,,,http://almagro.properati.com.ar/wt0s_venta_departamentos_almagro
6535,6536,sell,apartment,|Argentina|Capital Federal|Las Ca�itas|,"-34.5680671,-58.4334097",195000.0,USD,2956668.0,195000.0,83.0,47.0,2349.39759,4148.93617,6.0,,1300.0,http://las-canitas.properati.com.ar/1088u_venta_departamentos_las-canitas_balcon_suite_toilette_luminoso_estrenar_ew-negocios-inmobiliarios
6538,6539,sell,apartment,|Argentina|Capital Federal|Monserrat|,"-34.6130871,-58.3813599",95000.0,USD,1440428.0,95000.0,59.0,53.0,1610.169492,1792.45283,,3.0,,http://monserrat.properati.com.ar/zr5n_venta_departamentos_san-telmo_tatana-latorre-lalong_cr9
6557,6558,sell,apartment,|Argentina|Capital Federal|Palermo|,"-34.5706156,-58.4314047",175000.0,USD,2653420.0,175000.0,58.0,51.0,3017.241379,3431.372549,,2.0,2500.0,http://palermo.properati.com.ar/xbxc_venta_departamentos_belgrano
6568,6569,sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.5535295,-58.4495668",320000.0,USD,4851968.0,320000.0,158.0,58.0,2025.316456,5517.241379,,2.0,,http://belgrano.properati.com.ar/znfl_venta_departamentos_belgrano_balcon_baulera_suite_gimnasio_parrilla_piscina_terraza_toilette_vista_garage_amenities_yes-propiedades-com_aye
6573,6574,sell,apartment,|Argentina|Capital Federal|Almagro|,"-34.612287,-58.422895",214073.0,USD,3245860.45,214073.0,89.0,82.0,2405.314607,2610.646341,,3.0,,http://almagro.properati.com.ar/uto9_venta_departamentos_almagro
6574,6575,sell,apartment,|Argentina|Capital Federal|Villa Crespo|,"-34.601017,-58.4313746",138000.0,USD,2092411.2,138000.0,69.0,66.0,2000.0,2090.909091,5.0,3.0,2200.0,http://villa-crespo.properati.com.ar/y3zr_venta_departamentos_villa-crespo_balcon_lavadero_toilette_luminoso_garage_placard_doble-circulacion_eduardo-bertolotti-propiedades
6575,6576,sell,apartment,|Argentina|Capital Federal|Parque Avellaneda|,"-34.644418,-58.484017",77500.0,USD,1175086.0,77500.0,,48.0,,1614.583333,33.0,3.0,,http://parque-avellaneda.properati.com.ar/11sjo_venta_departamentos_parque-avellaneda_re-max-uno-ii
6581,6582,sell,apartment,|Argentina|Capital Federal|Belgrano|,"-34.56365,-58.4653795",189500.0,USD,2873274.8,189500.0,63.0,55.0,3007.936508,3445.454545,,3.0,,http://belgrano.properati.com.ar/rpvl_venta_departamentos_belgrano_zapiola_2300
6585,6586,sell,apartment,|Argentina|Capital Federal|Saavedra|,"-34.546659,-58.479767",148000.0,USD,2244035.2,148000.0,,63.0,,2349.206349,4.0,3.0,,http://saavedra.properati.com.ar/yv2z_venta_departamentos_saavedra_gimnasio_lavadero_parrilla_piscina_sum_toilette_garage_nunez
6594,6595,sell,apartment,|Argentina|Capital Federal|Nu�ez|,"-34.5546708,-58.4673571",193000.0,USD,2926343.2,193000.0,,55.0,,3509.090909,,3.0,,http://nunez.properati.com.ar/okgz_venta_departamentos_nunez_moldes_3100
6604,6605,sell,apartment,|Argentina|Capital Federal|Nu�ez|,"-34.551423,-58.470333",130000.0,USD,1971112.0,130000.0,,43.0,,3023.255814,6.0,2.0,,http://nunez.properati.com.ar/yc1v_venta_departamentos_belgrano_luminoso_garage_re-max-total-v
6619,6620,sell,apartment,|Argentina|Capital Federal|Villa Luro|,"-34.637834,-58.503098",165000.0,USD,2501796.0,165000.0,,86.0,,1918.604651,,3.0,,http://villa-luro.properati.com.ar/y79r_venta_departamentos_velez-sarsfield_balcon_baulera_parrilla_quincho_sum_garage_amenities_placard_aire-acondicionado_re-max-urbana
6622,6623,sell,apartment,|Argentina|Capital Federal|San Telmo|,"-34.6235515,-58.3740817",138159.0,USD,2094822.02,138159.0,60.0,57.0,2302.65,2423.842105,,3.0,,http://san-telmo.properati.com.ar/uxqn_venta_departamentos_san-telmo
